TARGET_FID,Img,target_x,target_y,COUNTYNAME,TOWNNAME,town_x,town_y
0,0000f284-d8fa-4f88-b1f2-ef7769e285d5.jpg,0,0,彰化縣,溪湖鎮,120.4831848,23.9518013
1,0006ecdf-82ed-46b8-86b1-f4e94ae83508.jpg,0,-144,彰化縣,埔心鄉,120.5342712,23.9528713
2,0008b7aa-9004-40e4-898c-6e7d329866db.jpg,0,0,彰化縣,二林鎮,120.4042206,23.9163017
3,000a4a97-a490-4830-872c-feb8cfc7ce24.jpg,-21,181,臺東縣,東河鄉,121.2517548,22.9797649
4,000e2db5-2ae5-4f50-84ca-2f41669f5c12.jpg,0,0,南投縣,名間鄉,120.6774521,23.8511734
5,002b6c36-27f7-45f4-aa6e-7f9c66f5ee91.jpg,0,0,彰化縣,埔心鄉,120.5342712,23.9528713
6,002db502-115e-4692-86e9-a860fd76db11.jpg,0,0,嘉義市,西區,120.424881,23.4795723
7,00363a4b-6121-4c7f-9504-e630d181549c.jpg,0,0,嘉義縣,六腳鄉,120.2714767,23.510273
8,00363b8d-a3e7-4d04-833c-d50a9af6d35a.jpg,0,0,花蓮縣,吉安鄉,121.5648117,23.9555264
9,0055d9c7-d741-4d3a-af0b-b870d93fbbb0.jpg,0,-253,臺中市,外埔區,120.6650391,24.3356228
10,00566840-bdbf-4496-8110-21acbd2c8980.jpg,0,-144,南投縣,名間鄉,120.6774521,23.8511734
11,005669b7-fa4f-4868-999e-5a369b458f9c.jpg,0,0,南投縣,埔里鎮,120.9625702,23.9790077
12,0057e5e5-cce9-4371-9169-5c51f615d4d1.jpg,0,0,高雄市,大寮區,120.4111404,22.5929337
13,00581e9f-fab1-4adf-b0b8-d74589a2e0de.jpg,0,0,雲林縣,口湖鄉,120.1413803,23.5540924
14,005d2601-62e1-4341-bc71-9a39d723abca.jpg,0,0,雲林縣,虎尾鎮,120.429306,23.7167091
15,005fec72-b72f-4752-9524-b778c210b41c.jpg,0,-144,雲林縣,莿桐鄉,120.5290298,23.7698288
16,006201d7-3627-403e-9b36-97a5c024050d.jpg,0,-356,臺東縣,東河鄉,121.2517548,22.9797649
17,00633bc8-074a-44d6-b1e1-1b6d571be453.jpg,0,0,屏東縣,新埤鄉,120.5846252,22.4868565
18,0068ccfc-0921-4932-bea8-02dd41541bf9.jpg,0,-174,雲林縣,北港鎮,120.2940063,23.592289
19,00731f0b-c8b8-4bed-9ab9-e3e5b4f0095b.jpg,0,0,屏東縣,麟洛鄉,120.5299683,22.6488628
20,0076d127-cf62-4728-88fe-90b7d25ec7f6.jpg,0,0,南投縣,草屯鎮,120.7321014,23.9833641
21,0079bc2c-369c-4588-944c-0b7bcc0e89e2.jpg,0,0,雲林縣,崙背鄉,120.3339615,23.7785912
22,007a129d-a699-4346-8168-6e708b462da1.jpg,0,-128,雲林縣,元長鄉,120.3279495,23.6425228
23,00814c21-8467-4409-a0ba-5be8020ed18c.jpg,0,0,南投縣,埔里鎮,120.9625702,23.9790077
24,00935f1f-7d8c-46b1-b83c-1737270be4b0.jpg,0,0,南投縣,名間鄉,120.6774521,23.8511734
25,0096d922-b8b9-431b-aa9f-6167dbdc5c6c.jpg,0,0,雲林縣,麥寮鄉,120.2379913,23.7913971
26,0098e097-fa11-4284-89fa-923af8de4b76.jpg,0,0,雲林縣,北港鎮,120.2940063,23.592289
27,0098fe25-7b3d-4b7d-a616-34e93c3ee932.jpg,0,0,雲林縣,崙背鄉,120.3339615,23.7785912
28,009cd348-9ff5-4725-97ac-a659a4912b5e.jpg,0,0,雲林縣,東勢鄉,120.2564087,23.6962242
29,00a7dcf5-f7bd-4aa2-b709-fa1dfb0c2327.jpg,0,0,雲林縣,元長鄉,120.3279495,23.6425228
30,00b004d9-56d1-453f-876d-f4634a91067c.jpg,0,0,雲林縣,北港鎮,120.2940063,23.592289
31,00bb2d9c-7792-48de-b4b9-7ccdaec4501a.jpg,0,-102,桃園市,楊梅區,121.1291656,24.9183025
32,00c039d7-8ef2-4887-a0e1-43a4293308b6.jpg,0,0,雲林縣,西螺鎮,120.4580765,23.77952
33,00cd07b2-2fce-4b64-aa22-28414b72a10d.jpg,0,0,桃園市,觀音區,121.114212,25.027483
34,00cda976-94cc-4cc0-8dc9-2283a692dcde.jpg,0,-116,南投縣,埔里鎮,120.9625702,23.9790077
35,00d37e64-3837-4618-bba6-54f4911f1557.jpg,0,0,彰化縣,大村鄉,120.5586853,23.9921856
36,00d7c8a1-08e3-4052-bbe0-45f77c1c7fa1.jpg,0,-128,雲林縣,二崙鄉,120.3964539,23.7926483
37,00da639a-095d-4d11-8bce-6a07afcd2896.jpg,0,0,雲林縣,崙背鄉,120.3339615,23.7785912
38,00dbfb2e-2858-4755-aafd-7e57bdaf8f2b.jpg,0,0,南投縣,竹山鎮,120.7100983,23.6981869
39,00e16b60-7cdb-4ac0-9c93-04041a89e155.jpg,0,0,彰化縣,埔鹽鄉,120.4594345,23.9921265
40,00e6a4fc-6736-4677-8f0f-2df010108616.jpg,0,-128,彰化縣,社頭鄉,120.6022034,23.9054585
41,00ecd979-9811-4e9f-88c2-43fb4869d1c9.jpg,0,0,南投縣,名間鄉,120.6774521,23.8511734
42,00f5311e-9ba0-4e7c-adff-aa06724da87f.jpg,0,0,南投縣,埔里鎮,120.9625702,23.9790077
43,00f5339a-8cfa-4efa-96c2-0f761ab79234.jpg,0,0,嘉義縣,番路鄉,120.6075058,23.4277649
44,00f7be5c-5330-48fa-bd32-66d20acbd780.jpg,0,0,雲林縣,四湖鄉,120.1938248,23.6463451
45,00fd643c-adf6-4aa3-80ee-769f944aa24c.jpg,0,0,雲林縣,水林鄉,120.2352676,23.5617218
46,00fe8fe5-5c9d-4fe5-9730-719f1e186c0b.jpg,-25,-133,彰化縣,大村鄉,120.5586853,23.9921856
47,01068947-abc7-43e0-a11b-cfd0eefec662.jpg,0,0,雲林縣,二崙鄉,120.3964539,23.7926483
48,0109af61-bc75-4c22-8a0d-083e58f8994d.jpg,0,0,屏東縣,竹田鄉,120.5278702,22.5896854
49,010d24ca-4081-4362-88c6-ffc0bec600ab.jpg,0,0,彰化縣,秀水鄉,120.5041046,24.0325832
50,0117d58f-ac0c-4ee2-aae2-1d46427c22f9.jpg,0,0,南投縣,埔里鎮,120.9625702,23.9790077
51,0121d2ef-4c20-418f-b941-a4411ba13598.jpg,0,0,臺南市,玉井區,120.460968,23.1149158
52,012758aa-ff9d-4bc8-b840-aba514eb8f8b.jpg,0,0,臺南市,下營區,120.2648392,23.231142
53,0133b7a8-87c4-4711-a8c3-15b875aeb629.jpg,0,0,南投縣,國姓鄉,120.8675461,24.0313301
54,01408efd-defe-4c3f-9cc5-3cf1c2a3253a.jpg,0,0,花蓮縣,吉安鄉,121.5648117,23.9555264
55,0143b9f7-3d7a-49a6-9b41-b37e979a2e4b.jpg,0,0,雲林縣,虎尾鎮,120.429306,23.7167091
56,0144c412-50c8-42d9-911d-ead903547794.jpg,0,0,雲林縣,東勢鄉,120.2564087,23.6962242
57,0146b84e-c30b-49a4-94d9-77a0c2e1cf03.jpg,0,-144,雲林縣,土庫鎮,120.3647156,23.6912041
58,014e35f6-3d96-4af4-ae88-06dcfca5b6ba.jpg,0,0,南投縣,名間鄉,120.6774521,23.8511734
59,015ae00b-d797-4f5d-98ac-7b3066280fa8.jpg,0,0,雲林縣,元長鄉,120.3279495,23.6425228
60,015c6782-727d-4928-9257-8c9d3f1a82db.jpg,0,0,雲林縣,崙背鄉,120.3339615,23.7785912
61,015cdfb6-e32c-4af5-86dc-87073638be25.jpg,0,0,雲林縣,元長鄉,120.3279495,23.6425228
62,01643980-6c87-4184-b747-45c5d2f4e3aa.jpg,0,0,雲林縣,崙背鄉,120.3339615,23.7785912
63,0168f6c2-830c-4002-a58a-335ce1243e45.jpg,0,0,屏東縣,東港鎮,120.4737549,22.4614105
64,017969e3-7284-4949-acb7-961977a1f50b.jpg,0,-144,雲林縣,林內鄉,120.6154861,23.755867
65,01798e83-7f17-49ea-a4b0-0f47af3b7ec3.jpg,0,0,雲林縣,北港鎮,120.2940063,23.592289
66,017e154c-8d84-4beb-9b2e-dd3861327e35.jpg,0,0,雲林縣,二崙鄉,120.3964539,23.7926483
67,0181b727-b944-46ac-ba32-5ecb047842ef.jpg,0,0,彰化縣,二林鎮,120.4042206,23.9163017
68,018559e8-9d11-4f2a-a52e-9d186d7f0288.jpg,0,0,臺南市,玉井區,120.460968,23.1149158
69,01888ff5-fd99-4d11-b763-ada52497dc7c.jpg,0,0,屏東縣,高樹鄉,120.6017685,22.8100128
70,0188d35a-ca61-4264-8a04-8415a80aeb76.jpg,0,0,彰化縣,溪湖鎮,120.4831848,23.9518013
71,018a2965-382d-4e8a-929d-31b29ea14153.jpg,0,0,屏東縣,竹田鄉,120.5278702,22.5896854
72,018e2424-b163-4846-8960-b4a2681fa87a.jpg,0,0,屏東縣,萬丹鄉,120.4769592,22.5881939
73,01942dba-0434-45af-8fca-79093193a375.jpg,0,0,雲林縣,林內鄉,120.6154861,23.755867
74,019a6e52-e20b-4d47-9dc2-04d1ed014dba.jpg,0,0,臺南市,歸仁區,120.2930679,22.9468937
75,019af015-ea4b-495c-bf61-51650766cb92.jpg,0,0,雲林縣,四湖鄉,120.1938248,23.6463451
76,019fe84d-92de-4d07-b879-705f96ff641f.jpg,0,0,南投縣,埔里鎮,120.9625702,23.9790077
77,01a63b5c-91ac-4b4c-a49e-1d45ff50749e.jpg,0,0,南投縣,埔里鎮,120.9625702,23.9790077
78,01a984b2-cb0a-4c0c-9baf-f613524a309a.jpg,0,0,南投縣,草屯鎮,120.7321014,23.9833641
79,01aca9db-c591-4b26-9597-c12033579f3b.jpg,0,0,苗栗縣,卓蘭鎮,120.856041,24.3253841
80,01ad151a-3a27-41da-8e15-6c2ec4c0a0ea.jpg,121,-110,桃園市,平鎮區,121.2140198,24.9212608
81,01b022b0-3226-4dc8-be6d-2fa7edca56bc.jpg,0,0,雲林縣,崙背鄉,120.3339615,23.7785912
82,01b62a22-0dc9-47da-a8b0-71bdbcaa985c.jpg,0,-116,雲林縣,四湖鄉,120.1938248,23.6463451
