TARGET_FID,Img,target_x,target_y,COUNTYNAME,TOWNNAME,town_x,town_y
0,000bbbfa-15f7-43ba-b99e-0aacada1c782.jpg,0,-128,雲林縣,西螺鎮,120.4580765,23.77952
1,002b60b8-552b-4858-9a6a-e8c1eae8158e.jpg,0,0,彰化縣,溪湖鎮,120.4831848,23.9518013
2,003fec26-e65c-49e1-97af-bf82bd76c2a0.jpg,0,0,彰化縣,秀水鄉,120.5041046,24.0325832
3,005adee4-d37e-4005-a106-2ec68ad21430.jpg,0,0,彰化縣,員林市,120.5930939,23.9566021
4,005f8afc-679b-4303-88d6-562d6872dc1a.jpg,0,0,臺南市,東山區,120.4441452,23.2784214
5,006ee6c4-821a-4f2b-bf80-b767e4d39e31.jpg,0,0,花蓮縣,吉安鄉,121.5648117,23.9555264
6,008c287b-8665-47af-b39d-832831522acd.jpg,0,0,花蓮縣,吉安鄉,121.5648117,23.9555264
7,008e224b-1bb6-4901-8e55-572d2311f9c5.jpg,0,0,彰化縣,大城鄉,120.2952423,23.8594379
8,00a05791-be60-4242-810a-b58aea8663ae.jpg,0,0,雲林縣,北港鎮,120.2940063,23.592289
9,00acebbe-1cd7-4a2b-af6b-4f1372e47024.jpg,0,0,彰化縣,埤頭鄉,120.4675598,23.8824368
10,00aeccac-c05c-4a4b-9190-b4813644fd7b.jpg,0,0,彰化縣,溪湖鎮,120.4831848,23.9518013
11,00af6550-e6fb-4738-ad8e-5594af68632e.jpg,0,0,雲林縣,褒忠鄉,120.3116074,23.7162247
12,00b4982a-c48e-4377-828c-22da885160b0.jpg,0,0,新竹縣,竹北市,120.9940872,24.8385391
13,00bd7b94-752b-412c-8005-56235e40097a.jpg,0,0,彰化縣,埔鹽鄉,120.4594345,23.9921265
14,00c56d38-737b-4a7e-8208-d9889123b6b5.jpg,0,0,苗栗縣,卓蘭鎮,120.856041,24.3253841
15,00cbd40d-62de-4dee-9e85-bfcf0af6fa60.jpg,0,0,花蓮縣,吉安鄉,121.5648117,23.9555264
16,00cfc7bb-16b2-4bc9-a8a3-7c3fd10140ed.jpg,0,-102,高雄市,大樹區,120.4254074,22.7110958
17,00da3cba-6b58-4544-8a6f-c26496a4f063.jpg,0,0,屏東縣,東港鎮,120.4737549,22.4614105
18,00dc6155-0087-4efc-be55-b2c3859c4e80.jpg,0,0,雲林縣,元長鄉,120.3279495,23.6425228
19,00dfac42-9819-4f3d-a1ac-a4d239aff2dd.jpg,0,0,屏東縣,東港鎮,120.4737549,22.4614105
20,00e0d5ef-b715-437b-9afc-5a7af569c39c.jpg,0,0,雲林縣,褒忠鄉,120.3116074,23.7162247
21,00e7be4b-437d-40e2-9f33-e2bab50032c9.jpg,0,0,新竹縣,新埔鎮,121.0939865,24.8414459
22,00ffdbc5-070a-430b-ae46-593af5adef55.jpg,0,0,屏東縣,崁頂鄉,120.5006561,22.5153713
23,01a6f630-2abe-4165-9f71-fa26e278d4e9.jpg,0,0,屏東縣,竹田鄉,120.5278702,22.5896854
24,01b17aaf-1cb1-434a-a17e-e1eab95416d1.jpg,0,0,苗栗縣,卓蘭鎮,120.856041,24.3253841
25,01be4714-bb90-4a2b-bf4d-57fd02857c5b.jpg,0,0,屏東縣,高樹鄉,120.6017685,22.8100128
26,01c56461-301d-497c-a447-3d73c8b35ee7.jpg,0,0,南投縣,埔里鎮,120.9625702,23.9790077
27,01d8273a-c455-4e27-80ab-c3c4aee1c706.jpg,0,0,嘉義縣,竹崎鄉,120.5965652,23.5038433
28,01d91bdd-39f6-4ef4-ac42-3469229f248c.jpg,0,0,臺東縣,鹿野鄉,121.1570969,22.9518948
29,01e39098-ff2b-4295-aab8-a72c5c4b0959.jpg,0,0,屏東縣,高樹鄉,120.6017685,22.8100128
30,01e5b8e0-a7a1-4af7-94de-293311769636.jpg,0,0,屏東縣,新園鄉,120.449707,22.5161438
31,01ed1fb9-8ff5-4d17-96cc-f503a29f7701.jpg,0,0,彰化縣,彰化市,120.5693893,24.0754261
32,01f41750-ab37-4af2-83a9-e199d05f8a63.jpg,0,-128,雲林縣,四湖鄉,120.1938248,23.6463451
33,01fd3a36-e9af-4975-ba18-f0333e0b93c0.jpg,0,0,雲林縣,四湖鄉,120.1938248,23.6463451
34,01feedda-6ec6-40ce-a883-bd78318a6ee7.jpg,0,0,嘉義縣,東石鄉,120.1738129,23.468605
35,01ff0772-83c0-415d-b707-3070d999ef9a.jpg,0,-128,雲林縣,元長鄉,120.3279495,23.6425228
36,02a00d9a-09a3-4ace-8175-dd02932162d1.jpg,0,0,南投縣,名間鄉,120.6774521,23.8511734
37,02a296b2-cfa4-4295-909f-f43a54252a27.jpg,0,-144,新竹市,東區,120.99263,24.7904205
38,02b8ee3c-db9e-44f7-8ca1-47fc4e4b1639.jpg,0,0,南投縣,名間鄉,120.6774521,23.8511734
39,02bbbca9-6ad4-4066-95ac-5c620611aba2.jpg,0,0,雲林縣,東勢鄉,120.2564087,23.6962242
40,02bbe017-e82f-4e32-b842-07bc537837ac.jpg,0,0,彰化縣,芳苑鄉,120.3408279,23.9579506
41,02bd8bba-beb4-4fbe-a5c1-88ac1c040fe5.jpg,0,-144,彰化縣,芳苑鄉,120.3408279,23.9579506
42,02c65157-ee42-46bf-abbb-13da98990ea1.jpg,0,0,嘉義縣,中埔鄉,120.5365295,23.4041824
43,02c9ee1b-64ab-413e-9480-95008dc07268.jpg,0,0,屏東縣,高樹鄉,120.6017685,22.8100128
44,02cced57-d367-4b14-b9b2-5f02c4c6fff2.jpg,0,-144,雲林縣,古坑鄉,120.6117096,23.6255703
45,02ceb3c6-e279-4d66-a00f-c17d028baf35.jpg,0,-102,雲林縣,麥寮鄉,120.2379913,23.7913971
46,02d01a4f-1d55-4db0-a459-826016964359.jpg,0,0,雲林縣,東勢鄉,120.2564087,23.6962242
47,02d388de-30a9-4403-9264-3418b6fd250d.jpg,0,0,花蓮縣,吉安鄉,121.5648117,23.9555264
48,02d4fdb6-bd3a-44d6-af7d-1f709c776b4a.jpg,0,-144,雲林縣,水林鄉,120.2352676,23.5617218
49,02e2dfdf-bfb1-44cf-a9fa-a6901bd507c6.jpg,0,-144,雲林縣,古坑鄉,120.6117096,23.6255703
50,02e8e08d-4584-4881-ab3a-75f7297c8273.jpg,0,0,雲林縣,元長鄉,120.3279495,23.6425228
51,02f3953f-3ff9-4106-88b2-682721e040ab.jpg,0,0,嘉義縣,番路鄉,120.6075058,23.4277649
52,02f78d8a-45ee-495c-89e2-cdd469755491.jpg,0,0,臺南市,南化區,120.5441742,23.1152229
53,03a0a028-e363-4f34-a455-24b05b5cd805.jpg,0,0,雲林縣,四湖鄉,120.1938248,23.6463451
54,03a157b1-5550-4ee8-8e28-adda5d463970.jpg,0,0,雲林縣,四湖鄉,120.1938248,23.6463451
55,03aa23c2-2b9f-4ff4-8a4f-c94c9cdf123f.jpg,0,0,彰化縣,和美鎮,120.5112076,24.1138687
56,03ac69b9-6ae8-4742-a24e-f57a25a9b651.jpg,0,0,彰化縣,田中鎮,120.5903549,23.8573418
57,03aeabbd-c894-4f4c-8d92-8f68c6055ed6.jpg,0,0,雲林縣,麥寮鄉,120.2379913,23.7913971
58,03b13355-1a98-4013-8fd6-e64b5f8a3af9.jpg,0,0,彰化縣,大城鄉,120.2952423,23.8594379
59,03b53eeb-849d-452b-aaef-3d6d3b3e62c0.jpg,0,0,南投縣,埔里鎮,120.9625702,23.9790077
60,03bcbc89-99f2-4e30-993d-20c36bb0aa48.jpg,0,0,雲林縣,麥寮鄉,120.2379913,23.7913971
61,03c1656d-0699-4246-a9ee-7172b794c5b7.jpg,0,0,雲林縣,崙背鄉,120.3339615,23.7785912
62,03c19c3f-d63c-4f16-814d-dea576e0392a.jpg,0,0,彰化縣,田尾鄉,120.5223236,23.9006577
63,03c3b61d-a7fd-483a-87fe-405881da7714.jpg,0,0,彰化縣,埔鹽鄉,120.4594345,23.9921265
64,03c9d8ee-d3a7-477b-9739-6f26d12939dd.jpg,0,-431,屏東縣,高樹鄉,120.6017685,22.8100128
65,03cf2a56-d135-4552-a5ae-35e88523aa8e.jpg,0,0,臺中市,外埔區,120.6650391,24.3356228
66,03d33545-74ba-4a50-a32a-4bb6b317c6d2.jpg,0,0,雲林縣,二崙鄉,120.3964539,23.7926483
67,03daa302-1043-481d-869c-9a2d4cb329e2.jpg,0,0,彰化縣,埔心鄉,120.5342712,23.9528713
68,03df416d-0dd2-4e57-aa41-8714d0d2c3cd.jpg,0,0,南投縣,名間鄉,120.6774521,23.8511734
69,03e05bb0-0f07-4dd0-8d11-633851d2bdcf.jpg,0,0,南投縣,名間鄉,120.6774521,23.8511734
70,03e1280f-01e3-4374-9464-042c81a23180.jpg,0,0,南投縣,埔里鎮,120.9625702,23.9790077
71,03ec0d22-51e3-494e-8fa4-12732dd5ffc4.jpg,0,0,桃園市,大溪區,121.2963486,24.8680515
72,03edd80e-ee83-4347-a452-a0d9ebbf9b1c.jpg,0,0,雲林縣,褒忠鄉,120.3116074,23.7162247
73,03f02084-172c-4194-aeee-b9542acbcea5.jpg,0,0,臺南市,東山區,120.4441452,23.2784214
74,03f28296-a627-40ef-b56b-567e9f19f3b1.jpg,0,0,嘉義縣,六腳鄉,120.2714767,23.510273
75,03f8bbdc-0410-4b4f-a9df-0ca1b9a809ce.jpg,0,-102,雲林縣,臺西鄉,120.1997833,23.7167454
76,03fc1158-bee3-4530-bad8-20d13cdfa082.jpg,0,0,臺南市,後壁區,120.3485184,23.3621159
77,03fd3b10-1755-440f-9e8e-8dbbb6a6b57b.jpg,0,0,屏東縣,長治鄉,120.5559921,22.6946507
78,03ffe4a2-b988-44d0-a1cd-da47000af588.jpg,0,0,雲林縣,褒忠鄉,120.3116074,23.7162247
79,04a4724d-1e43-43ae-a59e-bb6df13541fd.jpg,0,0,花蓮縣,吉安鄉,121.5648117,23.9555264
80,04c32244-96fe-4308-af7e-6e251b13a082.jpg,0,0,雲林縣,麥寮鄉,120.2379913,23.7913971
81,04c467be-9fad-4598-b031-7a80824fbe31.jpg,0,0,屏東縣,崁頂鄉,120.5006561,22.5153713
82,04d3f2c4-9e74-4105-94ba-a1c7a0af7f79.jpg,0,0,彰化縣,二林鎮,120.4042206,23.9163017
83,04d97f99-bc31-43ca-b4b5-0bb7990beb99.jpg,0,0,南投縣,埔里鎮,120.9625702,23.9790077
84,04e2a413-0f7a-4198-bcd6-bbdd8bb293c3.jpg,0,0,雲林縣,莿桐鄉,120.5290298,23.7698288
85,04ea25a7-3cad-49ab-a864-1c4faf537fcc.jpg,0,0,臺南市,東山區,120.4441452,23.2784214
86,04edebb8-b0d4-4c12-ae9d-45e4ce6192a2.jpg,0,-144,屏東縣,高樹鄉,120.6017685,22.8100128
87,04f0cb43-7ba7-45d1-996c-91f7e3cdbce1.jpg,0,0,彰化縣,伸港鄉,120.4739609,24.1706295
88,04f0eb9d-3a1b-481c-aea0-a27a9c137bc7.jpg,0,0,彰化縣,芳苑鄉,120.3408279,23.9579506
89,04ff633f-4bf3-434a-a477-e73458e6eff5.jpg,0,0,雲林縣,東勢鄉,120.2564087,23.6962242
90,05a396f4-c457-4ab8-9d4e-a23e5e0bf75f.jpg,0,-102,雲林縣,土庫鎮,120.3647156,23.6912041
91,05a53f10-a9e8-49e4-9afc-99364105da55.jpg,0,0,雲林縣,崙背鄉,120.3339615,23.7785912
92,05b35789-a8df-4051-b001-c7198b1ebb4a.jpg,0,0,雲林縣,二崙鄉,120.3964539,23.7926483
93,05ba6a3f-676a-4b01-9a97-5e896eecec90.jpg,0,-116,彰化縣,二林鎮,120.4042206,23.9163017
94,05c3c3a7-edba-4eda-b164-ea1f2cccfa60.jpg,0,0,臺南市,玉井區,120.460968,23.1149158
95,05ce349a-c6e0-4913-b4b7-94635be6cd89.jpg,0,0,屏東縣,南州鄉,120.5180588,22.4799023
96,05cea3e2-2b18-4c19-9b7e-4bebd7db48c6.jpg,0,-116,雲林縣,水林鄉,120.2352676,23.5617218
97,05dea526-736b-4b06-a81f-2d4b446d0152.jpg,0,0,臺中市,大甲區,120.6360092,24.37813
98,05df2356-1a9e-489c-866a-02834a8315e7.jpg,0,0,苗栗縣,卓蘭鎮,120.856041,24.3253841
99,05e42663-2a72-40d4-9d45-d913e7e8727e.jpg,0,0,彰化縣,二林鎮,120.4042206,23.9163017
100,05f73f53-230a-4f14-a21d-4559c9c2e2f8.jpg,0,0,屏東縣,里港鄉,120.506134,22.7986412
